id;activity_month;registration_month;region;operating_system
id_5;1.0;1.0;ROW;Unknown
id_7;1.0;1.0;America;Windows
id_147;1.0;1.0;EMEA;Unknown
id_151;1.0;1.0;EMEA;Windows
id_153;1.0;1.0;ROW;Windows
id_214;1.0;1.0;EMEA;Unknown
id_277;1.0;1.0;ROW;Unknown
id_281;1.0;1.0;EMEA;Windows
id_319;1.0;1.0;ROW;Windows
id_334;1.0;1.0;EMEA;Windows
id_348;1.0;1.0;EMEA;Windows
id_590;1.0;1.0;ROW;Mac
id_749;1.0;1.0;ROW;Windows
id_757;1.0;1.0;EMEA;Mac
id_1070;1.0;1.0;ROW;Unknown
id_1135;1.0;1.0;America;Unknown
id_1140;1.0;1.0;America;Windows
id_1237;1.0;1.0;ROW;Windows
id_1307;1.0;1.0;EMEA;Windows
id_1318;1.0;1.0;ROW;Windows
id_1386;1.0;1.0;ROW;Windows
id_1406;1.0;1.0;ROW;Windows
id_1421;1.0;1.0;EMEA;Unknown
id_1423;1.0;1.0;ROW;Unknown
id_1484;1.0;1.0;ROW;Windows
id_1502;1.0;1.0;America;Mac
id_1615;1.0;1.0;ROW;Unknown
id_1662;1.0;1.0;America;Windows
id_1679;1.0;1.0;ROW;Unknown
id_1697;1.0;1.0;ROW;Unknown
id_1736;1.0;1.0;ROW;Windows
id_1740;1.0;1.0;ROW;Unknown
id_1748;1.0;1.0;ROW;Unknown
id_1757;1.0;1.0;America;Mac
id_1868;1.0;1.0;America;Unknown
id_1872;1.0;1.0;EMEA;Unknown
id_1881;1.0;1.0;America;Mac
id_2070;1.0;1.0;EMEA;Windows
id_2075;1.0;1.0;ROW;Mac
id_2096;1.0;1.0;ROW;Unknown
id_2168;1.0;1.0;America;Unknown
id_2223;1.0;1.0;America;Windows
id_2248;1.0;1.0;America;Windows
id_2264;1.0;1.0;America;Windows
id_2265;1.0;1.0;America;Unknown
id_2330;1.0;1.0;ROW;Unknown
id_2335;1.0;1.0;ROW;Unknown
id_2343;1.0;1.0;ROW;Windows
id_2349;1.0;1.0;America;Unknown
id_2356;1.0;1.0;America;Windows
id_2394;1.0;1.0;America;Unknown
id_2421;1.0;1.0;EMEA;Mac
id_2424;1.0;1.0;ROW;Unknown
id_2431;1.0;1.0;ROW;Windows
id_2468;1.0;1.0;ROW;Unknown
id_2480;1.0;1.0;ROW;Unknown
id_2488;1.0;1.0;America;Windows
id_2506;1.0;1.0;ROW;Windows
id_2513;1.0;1.0;ROW;Windows
id_2523;1.0;1.0;EMEA;Unknown
id_2606;1.0;1.0;America;Unknown
id_2616;1.0;1.0;ROW;Unknown
id_2659;1.0;1.0;America;Mac
id_2667;1.0;1.0;ROW;Mac
id_2701;1.0;1.0;EMEA;Unknown
id_2710;1.0;1.0;America;Unknown
id_2715;1.0;1.0;America;Unknown
id_2746;1.0;1.0;America;Windows
id_2754;1.0;1.0;ROW;Windows
id_2756;1.0;1.0;ROW;Unknown
id_2759;1.0;1.0;ROW;Windows
id_2807;1.0;1.0;America;Windows
id_2854;1.0;1.0;America;Mac
id_2896;1.0;1.0;ROW;Unknown
id_2908;1.0;1.0;ROW;Windows
id_3030;1.0;1.0;ROW;Unknown
id_3034;1.0;1.0;America;Windows
id_3131;1.0;1.0;America;Mac
id_3151;1.0;1.0;EMEA;Windows
id_3204;1.0;1.0;EMEA;Unknown
id_3213;1.0;1.0;ROW;Windows
id_3312;1.0;1.0;ROW;Unknown
id_3337;1.0;1.0;EMEA;Unknown
id_3350;1.0;1.0;ROW;Windows
id_3370;1.0;1.0;ROW;Windows
id_3387;1.0;1.0;ROW;Unknown
id_3409;1.0;1.0;EMEA;Windows
id_3457;1.0;1.0;ROW;Windows
id_3503;1.0;1.0;EMEA;Unknown
id_3527;1.0;1.0;ROW;Unknown
id_3544;1.0;1.0;EMEA;Windows
id_3565;1.0;1.0;ROW;Windows
id_3666;1.0;1.0;America;Unknown
