id;registration_month;region;operating_system
id_10033;1.0;EMEA;Windows
id_10050;1.0;ROW;Unknown
id_10054;1.0;EMEA;Windows
id_10080;1.0;ROW;Unknown
id_10098;1.0;ROW;Windows
id_10103;1.0;ROW;Unknown
id_10142;1.0;ROW;Windows
id_1017;1.0;America;Unknown
id_10198;1.0;ROW;Unknown
id_10240;1.0;ROW;Unknown
id_10312;1.0;ROW;Unknown
id_10337;1.0;ROW;Unknown
id_10412;1.0;ROW;Windows
id_10427;1.0;ROW;Unknown
id_10443;1.0;EMEA;Mac
id_10480;1.0;America;Unknown
id_10507;1.0;ROW;Windows
id_10510;1.0;ROW;Unknown
id_10537;1.0;ROW;Windows
id_10625;1.0;EMEA;Unknown
id_10668;1.0;EMEA;Unknown
id_1070;1.0;ROW;Unknown
id_10705;1.0;EMEA;Windows
id_10819;1.0;EMEA;Windows
id_10845;1.0;EMEA;Mac
id_10862;1.0;EMEA;Unknown
id_10881;1.0;EMEA;Mac
id_10916;1.0;EMEA;Windows
id_1093;1.0;ROW;Windows
id_10950;1.0;ROW;Unknown
id_10951;1.0;ROW;Unknown
id_10961;1.0;EMEA;Windows
id_10968;1.0;ROW;Mac
id_11011;1.0;ROW;Unknown
id_11066;1.0;ROW;Unknown
id_11088;1.0;ROW;Windows
id_11193;1.0;ROW;Unknown
id_11229;1.0;America;Windows
id_11241;1.0;America;Unknown
id_11272;1.0;ROW;Windows
id_11277;1.0;EMEA;Windows
id_11319;1.0;America;Windows
id_11340;1.0;ROW;Windows
id_1135;1.0;America;Unknown
id_11365;1.0;America;Windows
id_11394;1.0;ROW;Windows
id_11398;1.0;ROW;Unknown
id_1140;1.0;America;Windows
id_11404;1.0;America;Windows
id_11410;1.0;ROW;Unknown
id_11426;1.0;ROW;Unknown
id_11441;1.0;America;Unknown
id_11443;1.0;America;Windows
id_11502;1.0;ROW;Windows
id_11548;1.0;America;Unknown
id_11583;1.0;ROW;Unknown
id_11600;1.0;ROW;Unknown
id_11654;1.0;ROW;Unknown
id_11694;1.0;ROW;Windows
id_11709;1.0;ROW;Windows
id_11713;1.0;ROW;Windows
id_11726;1.0;ROW;Windows
id_11727;1.0;ROW;Windows
id_11754;1.0;ROW;Unknown
id_1185;1.0;ROW;Windows
id_11916;1.0;ROW;Unknown
id_11954;1.0;America;Unknown
id_11979;1.0;America;Windows
id_11983;1.0;ROW;Windows
id_11985;1.0;ROW;Unknown
id_12020;1.0;America;Unknown
id_1210;1.0;ROW;Unknown
id_12104;1.0;ROW;Windows
id_12109;1.0;ROW;Windows
id_12110;1.0;ROW;Linux
id_1216;1.0;ROW;Unknown
id_12165;1.0;America;Mac
id_12188;1.0;EMEA;Windows
id_12197;1.0;ROW;Unknown
id_12225;1.0;ROW;Unknown
id_12240;1.0;ROW;Unknown
id_12243;1.0;ROW;Unknown
id_12302;1.0;EMEA;Windows
id_12324;1.0;ROW;Windows
id_12353;1.0;America;Windows
id_1237;1.0;ROW;Windows
id_12374;1.0;America;Mac
id_12389;1.0;EMEA;Mac
id_12453;1.0;ROW;Windows
id_12495;1.0;EMEA;Unknown
id_1253;1.0;ROW;Windows
id_12547;1.0;America;Unknown
id_12623;1.0;ROW;Windows
id_12638;1.0;ROW;Windows
id_12687;1.0;America;Windows
id_12714;1.0;ROW;Windows
id_12728;1.0;ROW;Unknown
id_12739;1.0;ROW;Unknown
id_12749;1.0;ROW;Windows
id_12753;1.0;America;Mac
id_12766;1.0;ROW;Windows
id_12767;1.0;ROW;Windows
id_12779;1.0;ROW;Unknown
id_12795;1.0;America;Windows
id_12834;1.0;ROW;Windows
id_12846;1.0;ROW;Windows
id_12873;1.0;EMEA;Windows
id_1294;1.0;America;Mac
id_12996;1.0;ROW;Unknown
id_13002;1.0;EMEA;Windows
id_13016;1.0;EMEA;Mac
id_13057;1.0;ROW;Windows
id_1307;1.0;EMEA;Windows
id_13075;1.0;EMEA;Unknown
id_13123;1.0;ROW;Unknown
id_13170;1.0;ROW;Windows
id_1318;1.0;ROW;Windows
id_13207;1.0;ROW;Windows
id_13244;1.0;ROW;Windows
id_13278;1.0;EMEA;Mac
id_13286;1.0;ROW;Unknown
id_13296;1.0;ROW;Windows
id_13297;1.0;ROW;Windows
id_13379;1.0;ROW;Windows
id_13391;1.0;America;Mac
id_13436;1.0;ROW;Unknown
id_13517;1.0;America;Windows
id_13540;1.0;ROW;Windows
id_13565;1.0;America;Windows
id_13571;1.0;America;Mac
id_13598;1.0;ROW;Unknown
id_13691;1.0;ROW;Unknown
id_13717;1.0;ROW;Windows
id_13750;1.0;America;Mac
id_13776;1.0;ROW;Windows
id_13791;1.0;America;Mac
id_13794;1.0;ROW;Windows
id_13814;1.0;ROW;Windows
id_13817;1.0;ROW;Unknown
id_1382;1.0;America;Windows
id_13824;1.0;ROW;Windows
id_1386;1.0;ROW;Windows
id_13860;1.0;ROW;Windows
id_13931;1.0;America;Windows
